TXT003,TXT001
30435,TECNICAS DE ALMACENAMIENTO
30436,SISTEMAS DE INFORMACION LOGISTICA
30437,"ENVASES, EMPAQUES Y EMBALAJES"
30438,LOGISTICA INTERNA
30439,GESTION ESTRATEGICA DE INVENTARIOS
30440,LOGISTICA EXTERNA
30441,GESTION DE TRANSPORTES
30442,LOGISTICA EN E-COMMERCE
30443,LOGISTICA INVERSA
30444,HISTORIA DE LA MODA
30445,FUNDAMENTOS DE DISEÑO Y PATRONAJE
30446,FIBRAS TEXTILES Y MATERIALES
30447,DESARROLLO Y PLANIFICACION DE COLECCIONES
30448,COMERCIO INTERNACIONAL PARA LA MODA
30450,GESTION DE COMPRAS PARA RETAIL
30451,BRANDING DE MODA Y FASHION STYLING
30453,MARKETING DIGITAL PARA LA MODA
30454,MODA SOSTENIBLE
30455,DIRECCION Y GESTION DE NEGOCIO DE MODA
30456,PRINCIPIOS DE INTERACCION Y USABILIDAD
30457,ESTRATEGIA DE DISEÑO UX
30458,BRANDING DIGITAL
30459,PROYECTO APLICATIVO WEB Y MOVIL
30460,GENEROS FOTOGRAFICOS
30461,RETOQUE DIGITAL
30462,TALLER DE FOOD STYLING
30463,FOTOGRAFIA DE EVENTOS SOCIALES
30464,DIRECCION DE ARTE
30465,FOTOGRAFIA Y PRODUCCION DE MODA
30466,"POST PRODUCCION, EDICION Y GESTION DE ARCHIVOS"
30467,ILUMINACION DE ESTUDIO
30468,COSTOS Y PRESUPUESTOS DE PRODUCCION FOTOGRAFICA
30469,GESTION Y MODELO DE NEGOCIOS FOTOGRAFICOS
30470,TALLER DE REDES SOCIALES PARA FOTOGRAFOS
30471,PORTAFOLIO PROFESIONAL FOTOGRAFICO
30500,FUNDAMENTOS DE ARQUITECTURA DE DATOS
30502,FUNDAMENTOS DE CIBERSEGURIDAD
30503,FUNDAMENTOS DE CIENCIA DE DATOS
30504,FUNDAMENTOS DE CLOUD COMPUTING
30505,FUNDAMENTOS DE CONTABILIDAD
30507,GESTIÓN DE PLANILLAS
30513,INTRODUCCION A PLATAFORMAS CLOUD
30514,INTRODUCCION AL MODELADO DE DATOS
30528,NUEVAS FORMAS DE HOSPEDAJE - AIRBNB Y OTROS METODOS ALTERNATIVOS
40001,CULTURA DE INNOVACION
40002,DISEÑO ORGANIZACIONAL
40003,GOBIERNO CORPORATIVO
40004,FUNDAMENTOS DE INVESTIGACION
40005,GESTION DE EMPRESAS FAMILIARES
